S.NO,PREFIX,SUFFIX
1,"allintitle: """,""" +site:*.com"
2,"allintext: """,""" +site:*about"
3,"allintext: """,""" +site:*about-us"
4,"allintext: """,""" +site:*company"
5,"allintext: """,""" +site:*our-company"
6,"allintext: """,""" +site:*portfolio"
7,"allintext: """,""" +site:*what we do"
8,"allintext: """,""" +site:*who-we-are"
9,"allintext: """,""" +site:*our-story"
10,"""","""  +site:.ai"
11,"""","""  +site:.net"
12,"""","""  +site:.io"
13,"""","""  +site:.com"
14,"""","""  +site:.health"
15,"""","""  +site:*products"
16,"""","""  +site:*our-offerings"
17,"""","""  +site:*our-expertise"
18,"site:*""",""" +  site:*Solutions"
